iter	Passed	Remaining
555	28306	22604
556	28354	22551
557	28402	22498
558	28442	22438
559	28498	22391
560	28550	22341
561	28617	22302
562	28669	22253
563	28739	22217
564	28799	22173
565	28898	22159
566	28949	22107
567	28991	22049
568	29053	22007
569	29112	21961
570	29158	21906
571	29215	21860
572	29274	21815
573	29351	21783
574	29405	21734
575	29462	21687
576	29494	21622
577	29557	21579
578	29621	21538
579	29686	21497
580	29807	21496
581	29871	21453
582	29935	21411
583	29991	21363
584	30320	21509
585	30370	21456
586	30428	21409
587	30492	21365
588	30546	21315
589	30588	21256
590	30634	21200
591	30683	21146
592	30740	21098
593	30776	21035
594	30835	20988
595	30942	20974
596	31040	20953
597	31164	20950
598	31202	20888
599	31247	20831
600	31280	20766
601	31312	20701
602	31347	20638
603	31377	20571
604	31425	20517
605	31460	20454
606	31495	20391
607	31520	20322
608	31547	20254
609	31571	20184
610	31604	20121
611	31648	20064
612	31680	20000
613	31711	19936
614	31765	19885
615	31811	19830
616	31862	19778
617	31909	19724
618	31954	19668
619	31996	19610
620	32048	19559
621	32075	19492
622	32105	19427
623	32131	19361
624	32162	19297
625	32201	19238
626	32228	19172
627	32254	19106
628	32285	19042
629	32309	18975
630	32337	18910
631	32366	18846
632	32395	18782
633	32423	18717
634	32451	18653
635	32479	18589
636	32506	18524
637	32533	18459
638	32567	18398
639	32599	18337
640	32629	18274
641	32665	18215
642	32696	18153
643	32721	18088
644	32746	18023
645	32782	17964
646	32819	17906
647	32864	17852
648	32912	17800
649	32951	17743
650	33016	17700
651	33067	17649
652	33117	17598
653	33148	17537
654	33196	17485
655	33244	17433
656	33282	17375
657	33333	17325
658	33399	17282
659	33451	17232
660	33540	17201
661	33605	17158
662	33676	17117
663	33721	17064
664	33789	17021
665	33848	16974
666	33989	16969
667	34078	16937
668	34149	16895
669	34237	16863
670	34312	16823
671	34353	16767
672	34405	16717
673	34431	16653
674	34466	16594
675	34503	16537
676	34555	16486
677	34592	16428
678	34634	16373
679	34671	16315
680	34706	16257
681	34743	16199
682	34781	16143
683	34815	16084
684	34869	16035
685	34903	15976
686	34938	15918
687	34985	15865
688	35018	15806
689	35120	15778
690	35170	15727
691	35223	15677
692	35258	15619
693	35286	15558
694	35319	15500
695	35352	15441
696	35385	15382
697	35419	15324
698	35456	15268
699	35490	15210
700	35519	15150
701	35556	15093
702	35588	15035
703	35623	14978
704	35659	14921
705	35692	14863
706	35729	14807
707	35766	14751
708	35800	14694
709	35845	14641
710	35882	14585
711	35920	14529
712	36112	14536
713	36160	14484
714	36199	14429
715	36235	14372
716	36273	14317
717	36308	14260
718	36368	14213
719	36405	14157
720	36439	14100
721	36475	14044
722	36517	13990
723	36554	13935
724	36591	13879
725	36651	13832
726	36692	13778
727	36725	13721
728	36765	13667
729	36814	13616
730	36916	13584
731	36987	13541
732	37032	13489
733	37065	13432
734	37096	13375
735	37135	13320
736	37193	13272
737	37250	13224
738	37306	13175
739	37356	13125
740	37404	13073
741	37460	13025
742	37510	12974
743	37546	12919
744	37577	12862
745	37618	12808
746	37655	12753
747	37707	12703
748	37743	12648
749	37777	12592
750	37847	12548
751	37918	12504
752	37971	12455
753	38022	12405
754	38058	12350
755	38094	12294
756	38144	12244
757	38175	12188
758	38208	12131
759	38249	12078
760	38282	12023
761	38320	11968
762	38359	11915
763	38392	11859
764	38433	11806
765	38464	11750
766	38503	11696
767	38562	11649
768	38615	11599
769	38649	11544
770	38685	11490
771	38742	11442
772	38779	11387
773	38831	11338
774	38864	11283
775	38899	11228
776	38949	11178
777	38989	11125
778	39023	11070
779	39055	11015
780	39093	10962
781	39146	10912
782	39195	10862
783	39233	10809
784	39262	10753
785	39303	10700
786	39340	10647
787	39369	10591
788	39402	10537
789	39447	10486
790	39475	10430
791	39509	10376
792	39546	10323
793	39586	10270
794	39629	10219
795	39673	10167
796	39714	10115
797	39763	10065
798	39892	10035
799	39990	9997
800	40043	9948
801	40098	9899
802	40191	9860
803	40252	9812
804	40301	9762
805	40340	9709
806	40372	9655
807	40404	9601
808	40445	9549
809	40482	9495
810	40517	9442
811	40552	9389
812	40587	9335
813	40632	9284
814	40668	9231
815	40702	9177
816	40736	9124
817	40767	9070
818	40798	9016
819	40835	8963
820	40869	8910
821	40909	8858
822	40951	8807
823	40985	8754
824	41017	8700
825	41045	8646
826	41073	8592
827	41098	8537
828	41136	8485
829	41175	8433
830	41221	8383
831	41271	8333
832	41313	8282
833	41353	8231
834	41394	8179
835	41437	8128
836	41474	8076
837	41532	8029
838	41577	7978
839	41652	7933
840	41710	7885
841	41746	7833
842	41802	7785
843	41877	7740
844	41928	7691
845	42070	7658
846	42131	7610
847	42206	7565
848	42239	7512
849	42276	7460
850	42322	7410
851	42360	7358
852	42416	7309
853	42480	7262
854	42552	7216
855	42605	7167
856	42639	7114
857	42672	7062
858	42707	7010
859	42735	6957
860	42768	6904
861	42795	6851
862	42841	6800
863	42949	6760
864	43045	6718
865	43081	6666
866	43146	6618
867	43181	6566
868	43217	6514
869	43254	6463
870	43279	6409
871	43308	6357
872	43335	6304
873	43365	6251
874	43391	6198
875	43417	6145
876	43443	6093
877	43476	6041
878	43508	5989
879	43539	5937
880	43566	5884
881	43592	5832
882	43628	5780
883	43657	5728
884	43688	5676
885	43716	5624
886	43744	5572
887	43777	5521
888	43817	5471
889	43942	5431
890	44042	5387
891	44074	5336
892	44113	5285
893	44141	5233
894	44170	5181
895	44201	5130
896	44227	5078
897	44256	5026
898	44284	4975
899	44310	4923
900	44335	4871
901	44367	4820
902	44393	4768
903	44441	4719
904	44497	4671
905	44597	4627
906	44655	4578
907	44691	4528
908	44723	4477
909	44764	4427
910	44795	4376
911	44820	4324
912	44849	4273
913	44890	4223
914	45026	4182
915	45056	4131
916	45094	4081
917	45157	4033
918	45221	3985
919	45281	3937
920	45311	3886
921	45340	3835
922	45372	3785
923	45403	3734
924	45441	3684
925	45471	3633
926	45500	3583
927	45530	3532
928	45569	3482
929	45606	3432
930	45640	3382
931	45671	3332
932	45701	3281
933	45727	3231
934	45765	3181
935	45810	3132
936	45837	3081
937	45876	3032
938	45940	2984
939	46009	2936
940	46043	2886
941	46075	2836
942	46104	2786
943	46135	2736
944	46170	2687
945	46201	2637
946	46232	2587
947	46307	2540
948	46373	2492
949	46403	2442
950	46447	2393
951	46526	2345
952	46624	2299
953	46697	2251
954	46778	2204
955	46835	2155
956	46936	2108
957	47010	2060
958	47114	2014
959	47182	1965
960	47262	1918
961	47337	1869
962	47399	1821
963	47463	1772
964	47504	1722
965	47540	1673
966	47573	1623
967	47609	1573
968	47637	1524
969	47664	1474
970	47696	1424
971	47745	1375
972	47821	1327
973	47943	1279
974	48046	1231
975	48160	1184
976	48228	1135
977	48318	1086
978	48405	1038
979	48502	989
980	48591	941
981	48639	891
982	48680	841
983	48718	792
984	48755	742
985	48809	693
986	48864	643
987	48897	593
988	48935	544
989	48977	494
990	49017	445
991	49135	396
992	49198	346
993	49232	297
994	49266	247
995	49305	198
996	49345	148
997	49378	98
998	49416	49
999	49455	0
